Company,Region,Website,Domain,Service Required,Requirement (Software Only),Contact Name,Email,Company Type,Estimated Pitch Pricing
FourKites,US (Global),https://www.fourkites.com/,Logistics & Supply Chain,Data Solutions & AI,Seeking real-time web dashboards and predictive software systems for global freight tracking.,Partnerships Team,partnerships@fourkites.com,Enterprise,$50k - $120k
Locus Robotics,US,https://locusrobotics.com/,Logistics & Supply Chain,Process Automation,Need scalable software dashboards and unified ERP API integrations.,Technology Alliance,info@locusrobotics.com,Enterprise Startup,$40k - $80k
Shiprocket,India,https://www.shiprocket.in/,E-commerce Logistics,Artificial Intelligence,Looking to deploy machine learning algorithms into your cloud architecture to optimize end-to-end e-commerce shipping.,Vendor Team,partners@shiprocket.com,Enterprise,$40k - $90k
Eruditus,India (Global),https://eruditus.com/,EdTech,Application Development,Interested in full-stack mobile web portals and SaaS data solutions to scale global online courses.,EdTech Partnerships,info@eruditus.com,Enterprise,$50k - $100k
ClassDojo,US,https://www.classdojo.com/,EdTech,Artificial Intelligence & Data Solutions,Optimizing student data cloud pipelines and building AI-based web communication moderation tools for K-12 educators.,Operations Lead,hello@classdojo.com,Enterprise,$40k - $90k
Multiverse,UK / US,https://www.multiverse.io/,EdTech,Process Automation,Developing custom web platforms to automate onboarding and matching processes for professional apprentices.,Growth Lead,hello@multiverse.io,Growth Startup,$30k - $70k
PATH,US (Global),https://www.path.org/,Non-profit / NGO,Application Development,Need robust offline-first software applications and secure database reporting systems for remote health workers.,Digital Health Lead,info@path.org,Global NGO,$15k - $40k
The Nature Conservancy,US (Global),https://www.nature.org/,Non-profit / NGO,Data Solutions,Developing cloud-based environmental data aggregation portals and software survey systems for global field scientists.,Data Insights Team,member@tnc.org,Global NGO,$15k - $40k
AMBOSS,Germany (Global),https://www.amboss.com/,Healthcare,Artificial Intelligence,Building scalable software platforms that utilize machine learning for personalized medical knowledge delivery.,Innovation Team,hello@amboss.com,Enterprise Startup,$40k - $80k
Nuro,US,https://www.nuro.ai/,Transportation / Logistics,App Dev & APIs,Require backend API architectures and consumer mobile applications for delivery tracking.,Partner Relations,partnerships@nuro.ai,Enterprise Startup,$50k - $100k
Learning Pool,UK,https://learningpool.com/,Corporate Training,Data Solutions,Developing SaaS analytics dashboards to track corporate learning efficiency and training software outcomes.,Tech Enablement,hello@learningpool.com,Enterprise,$40k - $80k
Flexport,US (Global),https://www.flexport.com/,Logistics & Freight,Data Solutions & Process Automation,Digital customs clearance software automation and robust data pipelines for international freight.,Venture & Alliances,partnerships@flexport.com,Enterprise,$75k - $150k
Zipline,US (Global),https://www.flyzipline.com/,Logistics Software,Data Solutions,Building internal data supply web dashboards to oversee and manage routing analytics.,Technology Partnerships,info@flyzipline.com,Enterprise Startup,$50k - $100k
project44,US (Global),https://www.project44.com/,Logistics & Supply Chain,Data Solutions,High-velocity API connectivity software systems to securely ingest and standardize global carrier data.,Platform Integrations,connect@project44.com,Enterprise,$50k - $120k
Delhivery,India,https://www.delhivery.com/,Logistics & Supply Chain,Process Automation & AI,Machine learning software models for dynamic last-mile routing and AI web chatbots for support.,Vendor Relations,partners@delhivery.com,Enterprise,$40k - $100k
Coursera,US (Global),https://www.coursera.org/,EdTech,Artificial Intelligence,Cloud-deployed AI recommendation engines for learners and scalable software data solutions for university partners.,Business Development,partnerships@coursera.org,Enterprise,$75k - $150k
Duolingo,US (Global),https://www.duolingo.com/,EdTech,Application Development,Backend API microservices and secure database solutions to handle massive global gamified web traffic.,Platform Engineering,hello@duolingo.com,Enterprise,$75k - $150k
GoGuardian,US,https://www.goguardian.com/,EdTech,Process Automation,Developing custom administrative portal software for educators through digital tools and secure deployment.,Education Team,info@goguardian.com,Enterprise,$40k - $80k
PhysicsWallah,India,https://www.pw.live/,EdTech,Application Development & Data,Building offline-first mobile web solutions and scaling database infrastructure for rural student usage.,Tech Strategy,contact@pw.live,Growth Startup,$30k - $70k
Water.org,US (Global),https://water.org/,Non-profit / NGO,Data Solutions,Digital tracking web applications and software data aggregation tools to measure global microfinance water impacts.,Impact Operations,info@water.org,Global NGO,$15k - $40k
BRAC,Bangladesh (Global),https://www.brac.net/,Non-profit / NGO,Application Development,Full-stack mobile software applications for micro-lending and offline survey systems.,Digital Innovation,info@brac.net,Global NGO,$15k - $40k
